timestamp,X,Y,Z
2025-04-13T15:40:50.091703,-146,36,-45
2025-04-13T15:40:50.101671,-160,33,-28
2025-04-13T15:40:50.111025,-155,45,-51
2025-04-13T15:40:50.120700,-155,45,-51
2025-04-13T15:40:50.128674,-130,69,-102
2025-04-13T15:40:50.153069,-125,64,-55
2025-04-13T15:40:50.158651,-120,59,-44
2025-04-13T15:40:50.168203,-111,14,-4
2025-04-13T15:40:50.180326,-115,-35,77
2025-04-13T15:40:50.190122,-115,-35,77
2025-04-13T15:40:50.198107,-114,53,27
2025-04-13T15:40:50.208450,-118,38,28
2025-04-13T15:40:50.218357,-116,49,-5
2025-04-13T15:40:50.231055,-119,49,-14
2025-04-13T15:40:50.238051,-123,49,-11
2025-04-13T15:40:50.247830,-125,49,-5
2025-04-13T15:40:50.262698,-120,45,3
2025-04-13T15:40:50.267895,-120,45,3
2025-04-13T15:40:50.282590,-112,35,-8
2025-04-13T15:40:50.298390,-107,50,-17
2025-04-13T15:40:50.308007,-106,53,-13
2025-04-13T15:40:50.318302,-105,56,-14
2025-04-13T15:40:50.328313,-102,62,-19
2025-04-13T15:40:50.338060,-100,63,-23
2025-04-13T15:40:50.347716,-100,63,-23
2025-04-13T15:40:50.360276,-98,66,-16
2025-04-13T15:40:50.368070,-101,67,-11
2025-04-13T15:40:50.384845,-104,68,-7
2025-04-13T15:40:50.387883,-109,69,-6
2025-04-13T15:40:50.397996,-112,67,-4
2025-04-13T15:40:50.407887,-110,62,-5
2025-04-13T15:40:50.417922,-113,61,-5
2025-04-13T15:40:50.428192,-113,61,-5
2025-04-13T15:40:50.438089,-117,53,-2
2025-04-13T15:40:50.448000,-120,41,5
2025-04-13T15:40:50.457983,-122,40,8
2025-04-13T15:40:50.470184,-123,47,12
2025-04-13T15:40:50.477610,-118,52,7
2025-04-13T15:40:50.490597,-110,60,0
2025-04-13T15:40:50.498015,-108,62,-10
2025-04-13T15:40:50.507941,-104,70,-18
2025-04-13T15:40:50.517980,-104,70,-18
2025-04-13T15:40:50.527945,-93,66,-15
2025-04-13T15:40:50.538339,-93,63,-1
2025-04-13T15:40:50.548105,-105,69,13
2025-04-13T15:40:50.557984,-121,80,21
2025-04-13T15:40:50.572536,-128,94,18
2025-04-13T15:40:50.578015,-135,106,-8
2025-04-13T15:40:50.589905,-155,115,-24
2025-04-13T15:40:50.597772,-155,115,-24
2025-04-13T15:40:50.607932,-157,124,-4
2025-04-13T15:40:50.618128,-160,130,28
2025-04-13T15:40:50.628037,-172,124,107
2025-04-13T15:40:50.640580,-150,41,70
2025-04-13T15:40:50.648073,-128,61,14
2025-04-13T15:40:50.657972,-119,47,5
2025-04-13T15:40:50.668061,-119,47,5
2025-04-13T15:40:50.677975,-136,36,-2
2025-04-13T15:40:50.692354,-152,31,6
2025-04-13T15:40:50.726123,-171,41,3
2025-04-13T15:40:50.727050,-175,49,-13
2025-04-13T15:40:50.729108,-184,57,-30
2025-04-13T15:40:50.743176,-182,58,-28
2025-04-13T15:40:50.748016,-183,52,-13
2025-04-13T15:40:50.757929,-183,52,-13
2025-04-13T15:40:50.777523,-183,56,6
2025-04-13T15:40:50.778191,-171,50,-8
2025-04-13T15:40:50.798139,-129,39,-45
2025-04-13T15:40:50.808398,-113,38,-54
2025-04-13T15:40:50.818214,-99,38,-43
2025-04-13T15:40:50.828409,-99,38,-43
2025-04-13T15:40:50.838216,-88,42,10
2025-04-13T15:40:50.848194,-85,59,27
2025-04-13T15:40:50.858018,-83,63,13
2025-04-13T15:40:50.868275,-81,76,11
2025-04-13T15:40:50.898262,-80,73,-5
2025-04-13T15:40:50.899127,-74,67,-10
2025-04-13T15:40:50.902001,-69,60,-7
2025-04-13T15:40:50.907920,-69,58,-13
2025-04-13T15:40:50.917935,-76,32,-6
2025-04-13T15:40:50.928626,-79,23,-10
2025-04-13T15:40:50.938096,-79,23,-10
2025-04-13T15:40:50.948329,-81,13,-6
2025-04-13T15:40:50.957994,-77,4,-5
2025-04-13T15:40:50.967944,-74,-1,2
2025-04-13T15:40:50.982224,-71,-8,8
2025-04-13T15:40:50.987883,-71,-15,10
2025-04-13T15:40:50.999179,-77,-17,17
2025-04-13T15:40:51.007964,-81,-2,21
2025-04-13T15:40:51.017954,-86,18,26
2025-04-13T15:40:51.027872,-86,38,31
2025-04-13T15:40:51.038409,-86,65,32
2025-04-13T15:40:51.050514,-84,78,33
2025-04-13T15:40:51.058235,-84,78,33
2025-04-13T15:40:51.068009,-90,97,33
2025-04-13T15:40:51.079381,-91,100,46
2025-04-13T15:40:51.087983,-95,108,61
2025-04-13T15:40:51.098155,-96,112,70
2025-04-13T15:40:51.107783,-96,136,71
2025-04-13T15:40:51.124299,-102,147,73
2025-04-13T15:40:51.127799,-114,182,54
2025-04-13T15:40:51.137958,-125,191,47
2025-04-13T15:40:51.148096,-125,191,47
2025-04-13T15:40:51.158087,-111,151,28
2025-04-13T15:40:51.168097,-88,113,19
2025-04-13T15:40:51.187823,-87,65,-7
2025-04-13T15:40:51.206936,-112,73,-47
2025-04-13T15:40:51.214268,-201,46,127
2025-04-13T15:40:51.218000,-322,77,186
2025-04-13T15:40:51.227858,-322,77,186
2025-04-13T15:40:51.237805,-226,131,-102
2025-04-13T15:40:51.251689,-74,63,-95
2025-04-13T15:40:51.257960,-26,-1,-69
2025-04-13T15:40:51.267940,0,-95,136
2025-04-13T15:40:51.278046,-19,-74,123
2025-04-13T15:40:51.289179,-43,-19,14
2025-04-13T15:40:51.306621,-43,-19,14
2025-04-13T15:40:51.309569,-93,39,-72
2025-04-13T15:40:51.322338,-133,63,-65
2025-04-13T15:40:51.328509,-177,70,-67
2025-04-13T15:40:51.346028,-185,75,-46
2025-04-13T15:40:51.348791,-170,81,-49
2025-04-13T15:40:51.366240,-146,91,-79
2025-04-13T15:40:51.368260,-146,91,-79
2025-04-13T15:40:51.377978,-108,46,-17
2025-04-13T15:40:51.389163,-102,57,29
2025-04-13T15:40:51.409048,-102,66,26
2025-04-13T15:40:51.417758,-99,61,13
2025-04-13T15:40:51.427981,-99,61,-10
2025-04-13T15:40:51.437972,-107,62,-15
2025-04-13T15:40:51.448264,-120,64,-2
2025-04-13T15:40:51.460130,-120,64,-2
2025-04-13T15:40:51.468044,-132,66,13
2025-04-13T15:40:51.477835,-128,62,11
2025-04-13T15:40:51.488894,-123,55,12
