timestamp,X,Y,Z
2025-04-15T14:09:38.626189,-116,-233,-73
2025-04-15T14:09:38.636330,-110,-38,4
2025-04-15T14:09:38.651799,-142,57,-55
2025-04-15T14:09:38.656197,-142,57,-55
2025-04-15T14:09:38.720595,-140,-46,21
2025-04-15T14:09:38.721533,-136,-44,17
2025-04-15T14:09:38.724092,-132,-23,19
2025-04-15T14:09:38.725127,-129,-23,16
2025-04-15T14:09:38.729724,-129,-23,16
2025-04-15T14:09:38.730670,-132,-26,19
2025-04-15T14:09:38.824229,-132,-26,21
2025-04-15T14:09:38.824334,-126,-53,26
2025-04-15T14:09:38.824367,-125,-31,27
2025-04-15T14:09:38.826135,-127,-19,29
2025-04-15T14:09:38.847338,-126,-28,31
2025-04-15T14:09:38.848175,-125,-20,29
2025-04-15T14:09:38.849291,-132,-18,38
2025-04-15T14:09:38.856202,-129,-26,36
2025-04-15T14:09:38.866147,-123,-35,39
2025-04-15T14:09:38.876085,-128,-34,58
2025-04-15T14:09:38.886423,-128,-34,58
2025-04-15T14:09:38.896252,-130,-61,54
2025-04-15T14:09:38.906911,-120,-56,28
2025-04-15T14:09:38.916166,-115,-42,18
2025-04-15T14:09:38.927991,-118,-48,25
2025-04-15T14:09:38.936002,-118,-48,25
2025-04-15T14:09:38.946203,-125,-67,64
2025-04-15T14:09:38.958326,-129,-55,70
2025-04-15T14:09:38.967548,-133,-41,64
2025-04-15T14:09:38.976249,-131,-42,63
2025-04-15T14:09:38.986456,-129,-47,75
2025-04-15T14:09:38.996885,-129,-47,75
2025-04-15T14:09:39.006157,-121,-57,75
2025-04-15T14:09:39.016656,-109,-70,66
2025-04-15T14:09:39.026495,-101,-73,59
2025-04-15T14:09:39.036633,-94,-39,27
2025-04-15T14:09:39.046153,-100,-42,61
2025-04-15T14:09:39.056230,-100,-42,61
2025-04-15T14:09:39.066233,-91,-74,82
2025-04-15T14:09:39.076334,-102,-78,84
2025-04-15T14:09:39.086301,-76,-71,76
2025-04-15T14:09:39.099055,-79,-60,75
2025-04-15T14:09:39.106324,-77,-56,98
2025-04-15T14:09:39.116318,-77,-56,98
2025-04-15T14:09:39.126061,-82,-67,115
2025-04-15T14:09:39.136090,-53,-60,92
2025-04-15T14:09:39.146477,-62,-55,75
2025-04-15T14:09:39.155881,-59,-43,102
2025-04-15T14:09:39.165930,-55,-31,83
2025-04-15T14:09:39.176131,-56,-16,68
2025-04-15T14:09:39.186311,-56,-16,68
2025-04-15T14:09:39.199248,-18,-44,83
2025-04-15T14:09:39.206603,-36,-47,100
2025-04-15T14:09:39.216568,-19,-58,105
2025-04-15T14:09:39.226160,-33,-51,99
2025-04-15T14:09:39.236157,-39,-43,104
